"street,city,zip,state,beds,baths,price"
"3526 HIGH ST,SACRAMENTO,95838,CA,2,1,59222"
"51 OMAHA CT,SACRAMENTO,95823,CA,3,1,68212"
"2796 BRANCH ST,SACRAMENTO,95815,CA,2,1,68880"
"2805 JANETTE WAY,SACRAMENTO,95815,CA,2,1,69307"
"6001 MCMAHON DR,SACRAMENTO,95824,CA,2,1,81900"
"5828 PEPPERMILL CT,SACRAMENTO,95841,CA,3,1,89921"
"6048 OGDEN NASH WAY,SACRAMENTO,95842,CA,3,2,90895"
"2561 19TH AVE,SACRAMENTO,95820,CA,3,1,91002"
"11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,95670,CA,2,2,94905"
"7325 10TH ST,RIO LINDA,95673,CA,3,2,98937"
"645 MORRISON AVE,SACRAMENTO,95838,CA,3,2,100309"
"4085 FAWN CIR,SACRAMENTO,95823,CA,3,2,106250"
"2930 LA ROSA RD,SACRAMENTO,95815,CA,1,1,106852"
"2113 KIRK WAY,SACRAMENTO,95822,CA,3,1,107502"
"4533 LOCH HAVEN WAY,SACRAMENTO,95842,CA,2,2,108750"
"7340 HAMDEN PL,SACRAMENTO,95842,CA,2,2,110700"
"6715 6TH ST,RIO LINDA,95673,CA,2,1,113263"
"6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,CA,2,1,116250"
"250 PERALTA AVE,SACRAMENTO,95833,CA,2,1,120000"
"113 LEEWILL AVE,RIO LINDA,95673,CA,3,2,121630"
"6118 STONEHAND AVE,CITRUS HEIGHTS,95621,CA,3,2,122000"
"4882 BANDALIN WAY,SACRAMENTO,95823,CA,4,2,122682"
"7511 OAKVALE CT,NORTH HIGHLANDS,95660,CA,4,2,123000"
"9 PASTURE CT,SACRAMENTO,95834,CA,3,2,124100"
"3729 BAINBRIDGE DR,NORTH HIGHLANDS,95660,CA,3,2,125000"
"3828 BLACKFOOT WAY,ANTELOPE,95843,CA,3,2,126640"
"4108 NORTON WAY,SACRAMENTO,95820,CA,3,1,127281"
"1469 JANRICK AVE,SACRAMENTO,95832,CA,3,2,129000"
"9861 CULP WAY,SACRAMENTO,95827,CA,4,2,131200"
"7825 CREEK VALLEY CIR,SACRAMENTO,95828,CA,3,2,132000"
"5201 LAGUNA OAKS DR Unit 140,ELK GROVE,95758,CA,2,2,133000"
"6768 MEDORA DR,NORTH HIGHLANDS,95660,CA,3,2,134555"
"3100 EXPLORER DR,SACRAMENTO,95827,CA,3,2,136500"
"7944 DOMINION WAY,ELVERTA,95626,CA,3,2,138750"
"5201 LAGUNA OAKS DR Unit 162,ELK GROVE,95758,CA,2,2,141000"
"3920 SHINING STAR DR,SACRAMENTO,95823,CA,3,2,146250"
"5031 CORVAIR ST,NORTH HIGHLANDS,95660,CA,3,2,147308"
"7661 NIXOS WAY,SACRAMENTO,95823,CA,4,2,148750"
"7044 CARTHY WAY,SACRAMENTO,95828,CA,4,2,149593"
"2442 LARKSPUR LN,SACRAMENTO,95825,CA,1,1,150000"
"4800 WESTLAKE PKWY Unit 2109,SACRAMENTO,95835,CA,2,2,152000"
"2178 63RD AVE,SACRAMENTO,95822,CA,3,2,154000"
"8718 ELK WAY,ELK GROVE,95624,CA,3,2,156896"
"5708 RIDGEPOINT DR,ANTELOPE,95843,CA,2,2,161250"
"7315 KOALA CT,NORTH HIGHLANDS,95660,CA,4,2,161500"
"2622 ERIN DR,SACRAMENTO,95833,CA,4,1,164000"
"8421 SUNBLAZE WAY,SACRAMENTO,95823,CA,4,2,165000"
"7420 ALIX PKWY,SACRAMENTO,95823,CA,4,1,166357"
"3820 NATOMA WAY,SACRAMENTO,95838,CA,4,2,166357"
"4431 GREEN TREE DR,SACRAMENTO,95823,CA,3,2,168000"
"9417 SARA ST,ELK GROVE,95624,CA,3,2,170000"
"8299 HALBRITE WAY,SACRAMENTO,95828,CA,4,2,173000"
"7223 KALLIE KAY LN,SACRAMENTO,95823,CA,3,2,174250"
"8156 STEINBECK WAY,SACRAMENTO,95828,CA,4,2,174313"
"7957 VALLEY GREEN DR,SACRAMENTO,95823,CA,3,2,178480"
"1122 WILD POPPY CT,GALT,95632,CA,3,2,178760"
"4520 BOMARK WAY,SACRAMENTO,95842,CA,4,2,179580"
"9012 KIEFER BLVD,SACRAMENTO,95826,CA,3,2,181000"
"5332 SANDSTONE ST,CARMICHAEL,95608,CA,3,1,181872"
"5993 SAWYER CIR,SACRAMENTO,95823,CA,4,3,182587"
"4844 CLYDEBANK WAY,ANTELOPE,95843,CA,3,2,182716"
"306 CAMELLIA WAY,GALT,95632,CA,3,2,182750"
